"Iteration","WSS_y Monitor: WSS_y Monitor (N)"
267.0,-0.018283246770969316
268.0,-0.018293286222610457
269.0,-0.018303157185020548
270.0,-0.018312861615493958
271.0,-0.01832240153849225
272.0,-0.01833177893663907
273.0,-0.01834099573044217
274.0,-0.018350053934445967
275.0,-0.01835895558725921
276.0,-0.018367702641138652
277.0,-0.018376297101239916
278.0,-0.018384740917716327
279.0,-0.01839303600449457
280.0,-0.01840118433082826
281.0,-0.018409187822785285
282.0,-0.01841704845780638
283.0,-0.018424768168139188
284.0,-0.018432348853344188
285.0,-0.018439792429160176
286.0,-0.01844710080302618
287.0,-0.018454275888596387
288.0,-0.01846131955990403
289.0,-0.018468233524553217
290.0,-0.018475019641237066
291.0,-0.01848167979121696
292.0,-0.018488215839672546
293.0,-0.018494629617310836
294.0,-0.01850092296553036
295.0,-0.01850709767741161
296.0,-0.018513155464686338
297.0,-0.018519098088424047
298.0,-0.018524927326739115
299.0,-0.018530644919724885
300.0,-0.018536252569527116
301.0,-0.018541752038655473
302.0,-0.018547145040872168
303.0,-0.018552433243392886
304.0,-0.018557618272980077
305.0,-0.018562701733477332
306.0,-0.018567685226986267
307.0,-0.018572570443954762
308.0,-0.018577359018801642
309.0,-0.018582052457086006
310.0,-0.018586652333881997
311.0,-0.018591160233468965
312.0,-0.018595577718698412
313.0,-0.01859990631950165
314.0,-0.01860414752725965
315.0,-0.01860830281479605
316.0,-0.018612373646512543
317.0,-0.018616361466443847
318.0,-0.018620267714474892
319.0,-0.018624093819066982
320.0,-0.018627841173327584
321.0,-0.018631511160656356
322.0,-0.01863510515337733
323.0,-0.018638624488114444
324.0,-0.01864207048886812
325.0,-0.018645444471429302
326.0,-0.01864874773958832
327.0,-0.018651981577368887
328.0,-0.01865514723439774
329.0,-0.018658245976765967
330.0,-0.018661279020151973
331.0,-0.01866424756216392
332.0,-0.018667152762217122
333.0,-0.01866999582168069
334.0,-0.018672777929705845
335.0,-0.01867550024410226
336.0,-0.018678163920072478
337.0,-0.018680770034537095
338.0,-0.01868331965457843
339.0,-0.018685813853275626
340.0,-0.01868825370200633
341.0,-0.018690640259631217
342.0,-0.018692974562719986
343.0,-0.018695257628731723
344.0,-0.018697490450808887
345.0,-0.01869967402552851
346.0,-0.018701809327743207
347.0,-0.01870389730782043
348.0,-0.018705938891129793
349.0,-0.01870793500593467
